Id,Price
4567,155143.418125
5925,110229.784609375
960,142140.512578125
3848,128512.514140625
746,204531.22734375
868,308948.334140625
672,109059.18265625
2471,205785.288359375
4510,95405.30171875
8354,273571.1074609375
6393,175606.520625
13270,229875.748125
5250,363243.6371875
16751,174534.988125
11404,127099.528203125
10588,268259.1365625
14925,187459.3090625
6791,197166.0515625
16097,197335.220078125
16428,361468.0446875
6945,354591.43640625
3190,187624.79140625
15709,418589.67640625
13155,146974.34921875
7675,195641.15875
14686,240383.2665625
609,182508.9815625
11155,156697.825
10869,212046.457578125
15742,187545.92625
9245,192471.935
3340,171622.988671875
2359,273224.50421875
8070,188525.29234375
13707,117408.84359375
16079,267830.53734375
15937,272405.640078125
14090,170216.946484375
9008,204615.871875
16384,184461.63125
11657,257565.807734375
13151,159065.654140625
8990,161149.363359375
11857,186184.20453125
1565,170369.986953125
8174,119585.59875
9247,234690.341171875
10478,217825.566171875
15509,149705.94109375
8306,253335.4571875
6642,186127.73796875
7472,195494.914921875
15989,135556.538359375
13682,136288.980546875
163,283570.7221875
7076,175449.98921875
7478,327733.250859375
3029,189583.6484375
1814,148066.50828125
10057,135581.755
15100,201730.58453125
12694,211580.98734375
6291,158050.250078125
12603,211993.09015625
3218,252607.234375
13456,132387.0028125
10170,233246.776875
4530,159730.59671875
13329,165366.44390625
4820,139346.170625
10896,172660.604765625
13416,114240.58796875
2701,215680.4077734375
11265,347014.063125
9189,223841.269140625
1858,177724.444375
14536,238448.68390625
6199,310795.4871875
14730,155586.02015625
7510,259146.171484375
15505,163724.525078125
7446,196082.0734375
14016,201807.32171875
14113,107651.060625
8721,277290.592734375
6193,327819.571328125
5717,179241.816484375
5427,288383.43125
9520,459295.10625
6869,102126.776875
1658,150737.737890625
6639,197455.866328125
6283,171896.32125
6257,128562.89359375
15235,174656.51953125
902,249143.29140625
8932,190588.04734375
16469,428584.06796875
2825,223625.8346875
6450,451233.2675
11366,180332.91390625
3801,363196.166015625
11385,188162.6178125
1079,187610.390859375
3202,227834.46546875
676,239844.332578125
6185,286114.428046875
7730,161655.45828125
2573,182309.11796875
10978,209498.37875
10962,256478.331640625
8870,192154.388046875
8496,186360.757109375
5517,173370.51671875
927,176961.084375
13675,193610.961484375
1499,213935.536875
15536,354018.8340625
8602,367960.455234375
12137,435185.31921875
9865,256798.871484375
16353,286611.7471875
15908,223868.39609375
3944,189606.46546875
10359,201193.165234375
15158,196717.5806640625
3259,272115.16234375
7220,333619.78828125
13843,190949.6673828125
16736,171597.79296875
702,236165.52828125
16401,159655.764375
12134,180634.781484375
6918,215602.74640625
11792,186237.055234375
3798,150516.939609375
10395,124293.378125
11099,127572.660390625
7090,211879.0815234375
11260,187781.5065625
9647,215580.86125
2903,395293.70796875
2071,182534.513125
8604,164631.8122265625
9346,202796.8628125
3945,209477.47609375
3420,131037.357734375
10842,129861.509140625
725,158877.5384375
13931,186660.41203125
16330,238120.523515625
9066,387113.86109375
3326,301337.038984375
1556,271982.5403125
6579,103792.581171875
13877,147077.99359375
9857,332454.055546875
7302,266857.136484375
5684,184135.09046875
6513,219085.82546875
11342,115131.976796875
16561,244514.62109375
6885,178544.8215625
9308,182913.03578125
2559,217855.32078125
6648,184988.2628125
15260,169229.500546875
5113,182033.291328125
16492,189235.31
12034,286400.3428125
7248,202516.030859375
2171,209499.79609375
10594,158822.266640625
13241,204821.94265625
7032,140318.309140625
4884,174043.538828125
903,193624.73453125
162,170851.53875
6566,260293.646484375
8249,118956.6825
13106,181122.160859375
256,122324.345390625
7976,164442.5446875
8575,173060.19890625
7591,291938.362421875
3204,238582.26875
15804,186915.899140625
1525,307140.216796875
9038,202226.67921875
13628,184310.45671875
10016,204725.123359375
10208,242651.8965625
2008,195190.5446875
13029,198807.674921875
5099,129093.16953125
9923,283499.583984375
9461,105795.326953125
11086,193797.463203125
15057,268671.10109375
10689,173827.5346875
2053,210079.678671875
16630,154001.11171875
4985,165933.67828125
13881,244834.38703125
13225,190616.9296875
5779,65813.8178515625
10262,192046.77046875
10762,197766.10828125
9513,212218.51078125
11128,154720.6359375
2074,299983.80453125
933,171597.053203125
2780,174366.960625
6594,111045.578203125
15394,333685.161640625
14863,143411.154765625
6698,216327.800546875
1611,254558.845859375
174,170819.75171875
5160,265278.070625
3295,312244.488125
4559,384213.17078125
8254,178297.92890625
10228,104971.0984375
13924,143137.003828125
15341,241871.47359375
4353,190828.79078125
4334,69176.2324609375
1872,165660.67984375
7823,183568.9225
310,147125.125546875
3704,217075.569375
11615,316576.376484375
6605,205276.874375
3381,192499.930703125
2143,145813.40203125
3191,249299.72875
13980,176391.00671875
15613,164860.709375
10943,256692.904609375
9654,125565.758359375
16053,379027.8271875
14931,229640.1140625
8299,223102.7225
2147,167980.56453125
11567,472620.809140625
5905,136139.685234375
11160,115583.68078125
8275,155288.42703125
16398,270609.407734375
11229,178556.060078125
10309,159455.1603125
7340,271555.29453125
7653,164193.072421875
272,210746.87515625
9831,234995.5401953125
5016,177202.503046875
5968,74787.2382421875
796,251333.71078125
12123,132762.55
16629,174387.96859375
2637,178339.7490625
6194,225089.62
6216,347189.3796875
14346,170033.0884375
6428,133349.709375
2891,243601.328125
84,176147.015390625
9260,197876.3896875
15250,134575.887734375
2348,190646.739140625
10427,246948.82015625
13230,242204.52625
1691,204255.178046875
8803,130905.56359375
5464,240983.9634375
10559,118587.0565625
16787,308415.03671875
4278,159763.6903125
6183,173037.138828125
12775,163342.7415625
10104,169920.986875
13663,182482.734921875
9404,255248.60296875
14724,204369.9215625
10040,188177.9184375
4646,194578.214375
4754,160543.6896875
3310,215004.84671875
2003,199984.608515625
7312,193318.3599609375
10921,208313.205703125
13419,291307.785546875
10105,157976.21703125
2196,431039.246015625
12659,224905.76875
4380,223045.305625
10847,154621.0025
10805,292377.29875
8709,98282.645
8319,177355.89765625
2215,182374.353984375
7000,195836.350703125
7701,111117.81828125
9678,191478.62421875
14026,190074.803359375
7971,166186.2303125
13734,140829.872734375
16483,207771.024375
6150,212786.3740625
2931,274415.153984375
5418,192144.41578125
1662,519116.1146875
2441,207627.32078125
669,117085.7171875
7734,199575.373984375
6010,230070.334765625
266,137468.888671875
632,143714.211875
16221,108895.046875
11832,175899.499453125
5035,128207.865234375
37,123137.677265625
6168,178422.587421875
11757,181014.40828125
8086,125680.238984375
6529,244536.4325
15121,183711.890625
13904,145183.25890625
3711,165841.992265625
16563,125962.405
14494,168948.918515625
3006,220410.26859375
15299,102033.0115625
92,282502.131171875
8066,176087.392421875
16071,212496.15359375
10662,150942.766328125
3883,243226.314765625
5511,118325.672890625
2821,281079.858125
9570,188287.0834375
4326,243913.869609375
9251,235503.188046875
9031,214239.627265625
12689,168798.75765625
16380,236390.270078125
1053,252689.989140625
4568,168492.436171875
16140,107582.08984375
14356,381752.9125
8466,177906.4078125
15652,144520.980859375
3285,128502.936171875
3198,166033.371484375
14088,437445.48359375
2268,123467.68203125
15472,196691.147734375
1203,212791.675859375
7157,356137.9940625
6886,191544.6009375
5083,230576.61921875
7467,116051.96109375
14068,221226.1834375
2080,178712.55734375
10865,165117.8375
13516,178060.24296875
14150,213492.42234375
7609,109839.71359375
2144,381366.4303125
10357,194089.02359375
2396,231137.04171875
1526,392588.1653125
10890,242661.005390625
8638,442525.11578125
6050,250145.914765625
7639,114614.89625
10544,199667.3053125
9577,214662.63203125
13195,212426.89328125
3484,239720.229453125
16668,436958.248125
7171,173810.215
8547,226901.601015625
12735,215004.334609375
9093,198217.717421875
15323,218044.70015625
14897,145408.140703125
5135,139517.17390625
5327,185478.898984375
13133,245134.68703125
1676,296497.433046875
16296,294535.249765625
1095,141549.94109375
12528,159853.285546875
7348,279477.00046875
11663,166730.92265625
1803,198060.27296875
1510,224113.69203125
16045,208651.785625
2900,145192.366328125
3236,157902.057578125
1318,213508.23296875
14948,219818.53953125
7840,280100.100625
15325,178736.71875
8700,175638.94125
15706,202339.82078125
14449,166850.576328125
